ct2010,MedianRent2016,MedianRent2012,Change20162012,UnempRate2016,eviction-rate,eviction-filing-rate,rent-burden,poverty-rate,TotalEMployees,FoodServicePct,FinancialPct,EducationPct,SocialServPct,ConstructionPct,Shipping_Manuf
048600,1302,1266,36,3.4,0.25,1.78,38.9,25.15,1320,0.08030303030303,0.016666666666667,0.043939393939394,0.006818181818182,0.103787878787879,0.18030303030303
010800,1028,1083,-55,7.9,0.26,1.49,41.5,36.15,1823,0.224904004388371,0.009325287986835,0.019747668678003,0,0.086670323642348,0.13713658804169
041000,1172,854,318,16.1,0.26,0.78,36.5,15.04,690,0.028985507246377,0.046376811594203,0.059420289855073,0.007246376811594,0.036231884057971,0.171014492753623
042800,1280,1132,148,10,0.26,2.5,32.4,13.12,1699,0.03708063566804,0.065332548557975,0.085344320188346,0.009417304296645,0.027074749852855,0.155385520894644
061002,1244,1139,105,1.9,0.26,3.13,36.8,3.67,2093,0.004300047778309,0.050645007166746,0.062111801242236,0.020544672718586,0.058767319636885,0.031533683707597
004500,2192,1876,316,3,0.27,1.54,23.4,0,2047,0,0.119687347337567,0.076697606253053,0.000488519785051,0,0.017098192476795
023300,834,771,63,15,0.27,1.57,50,42.39,2811,0.032728566346496,0.04162219850587,0.073995019565991,0.008537886872999,0.021344717182497,0.128779793667734
024900,1379,1154,225,9.5,0.27,3.21,33.8,16.53,2636,0.030728376327769,0.075493171471927,0.084218512898331,0.005690440060698,0.009104704097117,0.089150227617603
004900,1914,1534,380,1.5,0.28,1.25,23.2,0,1462,0,0.07250341997264,0.114227086183311,0.00547195622435,0.004787961696306,0.020519835841313
042600,1169,1025,144,8.6,0.28,1.89,31,18.33,2012,0.058648111332008,0.055168986083499,0.074055666003976,0.01441351888668,0.048707753479125,0.093439363817097
046201,1033,1044,-11,13.7,0.28,2.23,36.1,16.51,944,0.048728813559322,0.091101694915254,0.11864406779661,0,0.027542372881356,0.092161016949153
057100,1796,1355,441,3.2,0.28,0.99,28.8,11.57,2388,0.020938023450586,0.079564489112228,0.086264656616415,0.012562814070352,0.073701842546064,0.04857621440536
003400,1315,1345,-30,4.5,0.29,5.02,25.2,13.41,1634,0.064871481028152,0.048347613219094,0.066707466340269,0.011627906976744,0.039779681762546,0.098531211750306
038600,1234,1223,11,8.4,0.29,1.91,50,16.78,1481,0.042538825118163,0.075624577987846,0.045239702903444,0.010803511141121,0.109385550303849,0.062795408507765
048400,1581,1182,399,4.4,0.29,3.75,48.6,24.35,2151,0.01720130172013,0.01580660158066,0.176662017666202,0.02231520223152,0.0278940027894,0.108321710832171
054800,1269,1084,185,6.6,0.29,3.75,50,8.99,740,0.017567567567568,0.095945945945946,0.058108108108108,0.008108108108108,0.02972972972973,0.043243243243243
087600,944,1019,-75,6.9,0.29,16.42,35,4.26,752,0.037234042553192,0.043882978723404,0.143617021276596,0.073138297872341,0,0.073138297872341
123700,1549,1373,176,3.9,0.29,2.8,50,52.13,1698,0.05359246171967,0.017667844522968,0.080094228504123,0,0.013545347467609,0.099528857479388
011600,1150,947,203,4.8,0.3,2.34,33.6,23.88,1635,0.24525993883792,0.058103975535168,0.01039755351682,0.006727828746177,0.061162079510703,0.137614678899083
019500,1710,1373,337,4.3,0.3,0.59,26.1,16.05,2558,0.037138389366693,0.070367474589523,0.097341673182174,0.021892103205629,0.013291634089132,0.024628616106333
020500,1988,1690,298,5.3,0.3,1.21,35.8,16.1,2011,0.053207359522626,0.099453008453506,0.08254599701641,0.019890601690701,0.021382396817504,0.021382396817504
057300,2021,1239,782,7.2,0.3,0.7,29.7,16.44,1655,0.060422960725076,0.140785498489426,0.056797583081571,0.003021148036254,0.059214501510574,0.054984894259819
057400,1135,1331,-196,7.4,0.3,0.9,30.6,9.95,1364,0.039589442815249,0.091642228739003,0.094574780058651,0.013929618768329,0.033724340175953,0.073313782991202
007000,1182,1088,94,3.8,0.31,2.81,50,10.45,1196,0.044314381270903,0.045986622073579,0.124581939799331,0.029264214046823,0.030936454849498,0.052675585284281
009400,1319,1060,259,8,0.31,2.13,36.2,33.91,2478,0.219935431799839,0.007667473769169,0.033898305084746,0,0.073042776432607,0.115819209039548
014700,1727,1544,183,5,0.31,1.56,27.1,9.76,1373,0.032774945375091,0.053168244719592,0.126001456664239,0.004369992716679,0.020393299344501,0.069191551347415
016100,2121,1920,201,3.2,0.31,4.12,26.8,5.84,1825,0.00986301369863,0.084383561643836,0.076164383561644,0.024657534246575,0.007123287671233,0.029589041095891
020600,1378,1346,32,7.4,0.31,1.54,40.6,23.88,1233,0.034874290348743,0.0551500405515,0.051094890510949,0.016220600162206,0.035685320356853,0.098945660989457
046202,1527,1349,178,4.9,0.31,1.53,46.4,16.97,766,0.053524804177546,0.02088772845953,0.156657963446475,0.052219321148825,0.02088772845953,0.039164490861619
054700,1439,979,460,2.8,0.31,3.62,34.2,41.49,2097,0.039580352885074,0.081068192656176,0.144969003338102,0,0.011444921316166,0.07105388650453
059100,1846,1425,421,5.4,0.31,0.55,26.9,7.84,2840,0.02887323943662,0.073591549295775,0.076408450704225,0.015492957746479,0.05774647887324,0.05
016000,1341,1267,74,5.9,0.32,1.73,25.7,9.15,2112,0.077651515151515,0.096117424242424,0.100378787878788,0.007102272727273,0.037405303030303,0.091856060606061
025600,1329,988,341,9.1,0.32,3.55,34.3,21.69,1240,0.154838709677419,0.05241935483871,0.016129032258065,0.017741935483871,0.009677419354839,0.132258064516129
030000,1234,1102,132,5.8,0.32,1.59,30.4,12.45,1871,0.085515766969535,0.053447354355959,0.04008551576697,0,0.061998931052913,0.154462854088723
035400,786,847,-61,6.7,0.32,2.34,29.9,2.43,2578,0,0.063615205585725,0.081458494957331,0.036074476338247,0.011636927851047,0.050038789759504
045300,1716,1630,86,17.2,0.32,2.1,32.2,25.6,1471,0.096532970768185,0.037389530931339,0.038069340584636,0.014276002719239,0.021753908905507,0.161794697484704
048500,2169,1816,353,5.9,0.32,2.47,27.8,8.71,1937,0.085183273102736,0.020650490449148,0.048528652555498,0.005678884873516,0.005162622612287,0.088280846670108
056600,1378,1262,116,4.8,0.32,6.41,31.5,8.07,1404,0.03988603988604,0.042022792022792,0.084757834757835,0.026353276353276,0.059116809116809,0.107549857549858
010600,1147,1061,86,6.4,0.33,1.07,40.3,36,2028,0.187376725838264,0.023668639053255,0.046844181459566,0.030571992110454,0.04930966469428,0.131163708086785
016900,1933,1274,659,3.3,0.33,1.84,24.7,12,2953,0.048086691500169,0.093464273620047,0.09414155096512,0.02641381645784,0.002709109380291,0.043007111412123
031701,1253,1005,248,8.4,0.33,4.41,32.7,15.13,2066,0.037270087124879,0.06243949661181,0.046950629235237,0.004356243949661,0.002904162633107,0.111810261374637
053800,1330,1206,124,10.3,0.33,5.66,50,21.82,2099,0.054311576941401,0.095759885659838,0.07336827060505,0.041924726060029,0.032396379228204,0.096712720343021
014100,1787,1725,62,6.5,0.34,1.13,28.8,2.98,1728,0.045717592592593,0.088541666666667,0.121527777777778,0.016782407407407,0.008101851851852,0.009259259259259
014300,1833,1377,456,4.9,0.34,2.29,35.4,17.82,2185,0.05629290617849,0.05766590389016,0.051258581235698,0.024713958810069,0.005491990846682,0.054462242562929
018501,477,445,32,21.2,0.34,0.69,28.6,9.55,1639,0.039658328248932,0.021354484441733,0.042098840756559,0.023794996949359,0.002440512507627,0.185478950579622
035602,1183,1058,125,5.9,0.34,5.59,43.3,10.22,2372,0.03752107925801,0.063237774030354,0.067453625632378,0.012225969645869,0.014755480607083,0.100337268128162
046800,1710,1503,207,6.8,0.34,1.02,50,30.57,585,0.01025641025641,0.058119658119658,0.158974358974359,0.01025641025641,0.054700854700855,0.042735042735043
060000,1324,1169,155,5.6,0.34,4.93,37.4,10.36,3474,0.060161197466897,0.029936672423719,0.046056419113414,0,0.052677029360967,0.086355785837651
013500,2330,1952,378,3.2,0.35,2.19,26.7,0.82,2163,0.019417475728155,0.122052704576976,0.059177068885807,0.041146555709663,0.002773925104022,0.030975496994915
028400,1204,1051,153,7.2,0.35,2.85,27.8,16.76,1612,0.12468982630273,0.024813895781638,0.044044665012407,0.027915632754343,0.112282878411911,0.117866004962779
040400,1187,958,229,10.4,0.35,0.53,36.8,11.07,1153,0.035559410234172,0.063313096270599,0.079791847354727,0,0.043365134431917,0.122289679098005
